ticket_id,created_date,category,priority,status,support_team,ticket_text,customer_impact,resolution_minutes
TKT200023,2025-02-18 06:00:00,Application,Medium,Resolved,SRE,Data refresh has not completed,High,721
TKT200024,2025-02-19 00:00:00,Performance,Medium,Closed,Security,User cannot access required application,Medium,90
TKT200025,2025-02-19 18:00:00,Data,Medium,New,Platform,Unable to connect to corporate VPN,Low,678
TKT200026,2025-02-20 12:00:00,Data,Medium,New,Platform,Database query timing out,High,105
TKT200027,2025-02-21 06:00:00,VPN,Medium,Resolved,Security,Customer portal showing an error,High,364
TKT200028,2025-02-22 00:00:00,Application,Medium,In Progress,Platform,Customer portal showing an error,Medium,226
TKT200029,2025-02-22 18:00:00,VPN,Critical,New,SRE,Password reset completed but login still fails,High,7
TKT200030,2025-02-23 12:00:00,Authentication,Critical,Resolved,SRE,Network connectivity is intermittent,Critical,588
TKT200031,2025-02-24 06:00:00,Database,Low,New,Network,Data refresh has not completed,High,244
TKT200032,2025-02-25 00:00:00,Access,Critical,Closed,DBA,User cannot access required application,Low,515
TKT200033,2025-02-25 18:00:00,Network,Medium,New,Security,Database query timing out,Critical,765
TKT200034,2025-02-26 12:00:00,Performance,Medium,In Progress,Application Support,User cannot access required application,Medium,182
TKT200035,2025-02-27 06:00:00,Database,High,Closed,DBA,Unable to connect to corporate VPN,High,711
TKT200036,2025-02-28 00:00:00,Application,Low,In Progress,Security,User cannot access required application,Critical,300
TKT200037,2025-02-28 18:00:00,Performance,High,Resolved,Platform,Unable to connect to corporate VPN,Medium,334
TKT200038,2025-03-01 12:00:00,Data,Low,Resolved,Network,Unable to connect to corporate VPN,High,579
TKT200039,2025-03-02 06:00:00,Authentication,Medium,Closed,Platform,User cannot access required application,Low,627
TKT200040,2025-03-03 00:00:00,Access,High,In Progress,SRE,User cannot access required application,Critical,657
TKT200041,2025-03-03 18:00:00,VPN,High,Closed,Application Support,Data refresh has not completed,Low,199
TKT200042,2025-03-04 12:00:00,Application,Medium,In Progress,Platform,User cannot access required application,High,581
TKT200043,2025-03-05 06:00:00,Network,Medium,Closed,Network,Data refresh has not completed,Medium,267
TKT200044,2025-03-06 00:00:00,Data,High,Resolved,Network,Network connectivity is intermittent,Low,280
TKT200045,2025-03-06 18:00:00,Performance,Low,New,SRE,Application is responding slowly,Medium,947
TKT200046,2025-03-07 12:00:00,Data,High,Resolved,Application Support,Data refresh has not completed,Critical,105
TKT200047,2025-03-08 06:00:00,Performance,Low,Closed,Platform,Database query timing out,Low,416
TKT200048,2025-03-09 00:00:00,Network,High,New,SRE,User cannot access required application,Medium,442
TKT200049,2025-03-09 18:00:00,Access,Low,Closed,Network,Unable to connect to corporate VPN,Low,248
TKT200050,2025-03-10 12:00:00,VPN,High,New,SRE,Password reset completed but login still fails,Low,786
TKT200051,2025-03-11 06:00:00,Application,Medium,Closed,Application Support,User cannot access required application,Low,489
TKT200052,2025-03-12 00:00:00,VPN,Medium,Resolved,Platform,Application is responding slowly,High,720
TKT200053,2025-03-12 18:00:00,Access,High,New,Platform,User cannot access required application,Critical,390
TKT200054,2025-03-13 12:00:00,Data,Low,Resolved,Platform,Unable to connect to corporate VPN,High,897
TKT200055,2025-03-14 06:00:00,Access,High,New,SRE,Application is responding slowly,Critical,730
TKT200056,2025-03-15 00:00:00,Performance,Medium,In Progress,SRE,Customer portal showing an error,High,336
TKT200057,2025-03-15 18:00:00,Authentication,Medium,Closed,DBA,User cannot access required application,Medium,962
TKT200058,2025-03-16 12:00:00,Data,Medium,Assigned,Platform,Data refresh has not completed,Critical,865
TKT200059,2025-03-17 06:00:00,Application,Critical,New,SRE,Data refresh has not completed,Low,593
TKT200060,2025-03-18 00:00:00,Access,High,In Progress,Platform,Network connectivity is intermittent,High,21
TKT200061,2025-03-18 18:00:00,Performance,High,Assigned,Platform,Unable to connect to corporate VPN,Low,593
TKT200062,2025-03-19 12:00:00,Access,Medium,New,Network,User cannot access required application,Critical,692
TKT200063,2025-03-20 06:00:00,Database,High,In Progress,Application Support,Password reset completed but login still fails,Low,368
TKT200064,2025-03-21 00:00:00,Application,Low,Assigned,Platform,Application is responding slowly,Low,148
TKT200065,2025-03-21 18:00:00,Access,Medium,New,Security,Password reset completed but login still fails,Medium,566
TKT200066,2025-03-22 12:00:00,Performance,Medium,Assigned,Security,Database query timing out,High,802
TKT200067,2025-03-23 06:00:00,Network,Medium,New,SRE,Unable to connect to corporate VPN,Low,322
TKT200068,2025-03-24 00:00:00,Application,High,Closed,DBA,User cannot access required application,Medium,459
TKT200069,2025-03-24 18:00:00,Application,Medium,Closed,Network,Password reset completed but login still fails,Medium,6
TKT200070,2025-03-25 12:00:00,VPN,High,Assigned,DBA,User cannot access required application,High,705
TKT200071,2025-03-26 06:00:00,VPN,Medium,Closed,Platform,Customer portal showing an error,Critical,866
TKT200072,2025-03-27 00:00:00,VPN,Medium,In Progress,Network,Password reset completed but login still fails,High,777
TKT200073,2025-03-27 18:00:00,Access,Medium,Closed,SRE,Unable to connect to corporate VPN,High,432
TKT200074,2025-03-28 12:00:00,Network,Low,New,Application Support,Network connectivity is intermittent,Medium,49
TKT200075,2025-03-29 06:00:00,Performance,High,Assigned,DBA,Customer portal showing an error,Critical,494
TKT200076,2025-03-30 00:00:00,Access,Medium,Resolved,SRE,Application is responding slowly,Low,940
TKT200077,2025-03-30 18:00:00,Authentication,High,Assigned,DBA,Data refresh has not completed,Low,88
TKT200078,2025-03-31 12:00:00,VPN,Medium,Closed,Application Support,Password reset completed but login still fails,Low,217
TKT200079,2025-04-01 06:00:00,Database,Medium,In Progress,Security,Data refresh has not completed,Medium,837
TKT200080,2025-04-02 00:00:00,Data,High,In Progress,Platform,Unable to connect to corporate VPN,Medium,570
TKT200081,2025-04-02 18:00:00,VPN,Medium,In Progress,Application Support,Customer portal showing an error,Critical,174
TKT200082,2025-04-03 12:00:00,Authentication,Medium,Resolved,Platform,Unable to connect to corporate VPN,High,29
TKT200083,2025-04-04 06:00:00,VPN,Critical,New,Platform,Password reset completed but login still fails,Medium,413
TKT200084,2025-04-05 00:00:00,Network,Low,Resolved,SRE,Database query timing out,Low,596
TKT200085,2025-04-05 18:00:00,Data,Medium,Resolved,Application Support,Unable to connect to corporate VPN,High,841
TKT200086,2025-04-06 12:00:00,Access,Medium,Closed,Security,Database query timing out,Medium,884
TKT200087,2025-04-07 06:00:00,Network,Medium,Closed,DBA,Password reset completed but login still fails,Critical,460
TKT200088,2025-04-08 00:00:00,Authentication,Low,Resolved,Security,Unable to connect to corporate VPN,Medium,425
TKT200089,2025-04-08 18:00:00,Database,High,In Progress,Platform,Data refresh has not completed,High,931
TKT200090,2025-04-09 12:00:00,Application,Medium,In Progress,SRE,Data refresh has not completed,Critical,777
TKT200091,2025-04-10 06:00:00,Database,Medium,Assigned,Application Support,Data refresh has not completed,Medium,213
TKT200092,2025-04-11 00:00:00,Access,Medium,Closed,Application Support,Password reset completed but login still fails,Medium,682
TKT200093,2025-04-11 18:00:00,Data,Medium,Assigned,SRE,Database query timing out,High,716
TKT200094,2025-04-12 12:00:00,Authentication,Low,In Progress,SRE,Application is responding slowly,Medium,237
TKT200095,2025-04-13 06:00:00,Database,Medium,New,DBA,Application is responding slowly,Low,978
TKT200096,2025-04-14 00:00:00,Authentication,Medium,Assigned,SRE,Database query timing out,Medium,300
TKT200097,2025-04-14 18:00:00,Access,Medium,Assigned,Security,User cannot access required application,Low,551
TKT200098,2025-04-15 12:00:00,Network,Low,In Progress,Application Support,Database query timing out,High,496
TKT200099,2025-04-16 06:00:00,Database,Low,In Progress,Platform,Application is responding slowly,Low,693
TKT200100,2025-04-17 00:00:00,Authentication,Medium,Resolved,Platform,Data refresh has not completed,Medium,902
TKT200101,2025-04-17 18:00:00,VPN,High,In Progress,Application Support,Data refresh has not completed,Critical,396
TKT200102,2025-04-18 12:00:00,Network,Critical,New,Network,Application is responding slowly,High,387
TKT200103,2025-04-19 06:00:00,Access,Medium,In Progress,Platform,Password reset completed but login still fails,High,752
TKT200104,2025-04-20 00:00:00,Authentication,Low,New,SRE,User cannot access required application,High,952
TKT200105,2025-04-20 18:00:00,VPN,Medium,Closed,Application Support,Application is responding slowly,Medium,909
TKT200106,2025-04-21 12:00:00,Network,High,Resolved,Application Support,Data refresh has not completed,High,753
TKT200107,2025-04-22 06:00:00,Access,High,Assigned,SRE,Database query timing out,Low,704
TKT200108,2025-04-23 00:00:00,Database,Medium,Assigned,Security,Unable to connect to corporate VPN,High,769
TKT200109,2025-04-23 18:00:00,Database,Low,New,SRE,Password reset completed but login still fails,High,936
TKT200110,2025-04-24 12:00:00,Authentication,High,Assigned,SRE,Unable to connect to corporate VPN,Critical,15
TKT200111,2025-04-25 06:00:00,Access,Medium,New,Network,Database query timing out,Critical,590
TKT200112,2025-04-26 00:00:00,Performance,Medium,Closed,Network,Application is responding slowly,Low,38
TKT200113,2025-04-26 18:00:00,Performance,Low,New,Application Support,Network connectivity is intermittent,Medium,579
TKT200114,2025-04-27 12:00:00,Application,High,Resolved,Security,Data refresh has not completed,High,397
TKT200115,2025-04-28 06:00:00,Access,Low,In Progress,SRE,Password reset completed but login still fails,Medium,308
TKT200116,2025-04-29 00:00:00,Network,Medium,Assigned,DBA,Data refresh has not completed,High,891
TKT200117,2025-04-29 18:00:00,VPN,Medium,Closed,Application Support,User cannot access required application,Critical,711
TKT200118,2025-04-30 12:00:00,Database,Critical,New,DBA,Application is responding slowly,Medium,569
TKT200119,2025-05-01 06:00:00,Access,Medium,Closed,Platform,Database query timing out,Critical,882
TKT200120,2025-05-02 00:00:00,Access,Medium,Resolved,SRE,Database query timing out,Critical,102
TKT200121,2025-05-02 18:00:00,Data,Medium,Resolved,Network,Password reset completed but login still fails,Critical,648
TKT200122,2025-05-03 12:00:00,Data,Medium,Closed,Network,Network connectivity is intermittent,Low,160
TKT200123,2025-05-04 06:00:00,Authentication,Medium,In Progress,Network,Unable to connect to corporate VPN,Medium,236
TKT200124,2025-05-05 00:00:00,VPN,Medium,Assigned,SRE,Unable to connect to corporate VPN,Low,189
TKT200125,2025-05-05 18:00:00,Database,Critical,New,SRE,Application is responding slowly,Low,546
TKT200126,2025-05-06 12:00:00,Data,Medium,Closed,DBA,Password reset completed but login still fails,Low,630
TKT200127,2025-05-07 06:00:00,Performance,High,In Progress,Application Support,Unable to connect to corporate VPN,Medium,757
TKT200128,2025-05-08 00:00:00,VPN,Low,Closed,DBA,Database query timing out,Low,443
TKT200129,2025-05-08 18:00:00,Authentication,Low,Assigned,Network,Database query timing out,Medium,939
TKT200130,2025-05-09 12:00:00,Application,High,Closed,Application Support,Password reset completed but login still fails,Critical,376
TKT200131,2025-05-10 06:00:00,Access,High,Closed,Security,Network connectivity is intermittent,Critical,160
TKT200132,2025-05-11 00:00:00,Data,High,Assigned,Security,Data refresh has not completed,Critical,41
TKT200133,2025-05-11 18:00:00,Performance,Medium,In Progress,DBA,Customer portal showing an error,Low,131
TKT200134,2025-05-12 12:00:00,Authentication,Low,Resolved,Security,User cannot access required application,High,447
TKT200135,2025-05-13 06:00:00,VPN,Medium,Assigned,DBA,Data refresh has not completed,High,415
TKT200136,2025-05-14 00:00:00,Access,Critical,New,DBA,Application is responding slowly,Low,854
TKT200137,2025-05-14 18:00:00,Application,Critical,Assigned,DBA,Database query timing out,Critical,129
TKT200138,2025-05-15 12:00:00,Data,High,In Progress,Security,Unable to connect to corporate VPN,Medium,266
TKT200139,2025-05-16 06:00:00,Application,Low,New,Application Support,Customer portal showing an error,Critical,980
TKT200140,2025-05-17 00:00:00,Application,Medium,Assigned,Platform,Unable to connect to corporate VPN,Low,33
TKT200141,2025-05-17 18:00:00,Database,Medium,Closed,Security,Customer portal showing an error,High,427
TKT200142,2025-05-18 12:00:00,VPN,Medium,New,SRE,Network connectivity is intermittent,Low,202
TKT200143,2025-05-19 06:00:00,Data,Low,New,DBA,Password reset completed but login still fails,Critical,535
TKT200144,2025-05-20 00:00:00,Performance,Medium,In Progress,Application Support,User cannot access required application,High,973
TKT200145,2025-05-20 18:00:00,Authentication,Low,New,DBA,Application is responding slowly,Low,230
TKT200146,2025-05-21 12:00:00,Access,Low,New,Platform,Database query timing out,Low,373
TKT200147,2025-05-22 06:00:00,Database,Medium,New,DBA,User cannot access required application,Medium,451
TKT200148,2025-05-23 00:00:00,Network,Low,New,Network,Password reset completed but login still fails,Low,799
TKT200149,2025-05-23 18:00:00,Performance,High,Closed,Network,Network connectivity is intermittent,Low,984
TKT200150,2025-05-24 12:00:00,Performance,Medium,New,Platform,Database query timing out,Critical,101
TKT200151,2025-05-25 06:00:00,Authentication,High,In Progress,DBA,Database query timing out,Critical,491
TKT200152,2025-05-26 00:00:00,Database,Medium,Resolved,Platform,Network connectivity is intermittent,High,753
TKT200153,2025-05-26 18:00:00,Performance,High,Resolved,Network,Password reset completed but login still fails,Critical,13
TKT200154,2025-05-27 12:00:00,Data,Critical,Resolved,Application Support,Database query timing out,High,807
TKT200155,2025-05-28 06:00:00,VPN,Critical,Assigned,Security,Data refresh has not completed,Low,246
TKT200156,2025-05-29 00:00:00,Performance,Medium,Closed,Network,Database query timing out,High,520
TKT200157,2025-05-29 18:00:00,Network,Medium,New,Application Support,Unable to connect to corporate VPN,Low,978
TKT200158,2025-05-30 12:00:00,Application,Medium,New,SRE,Application is responding slowly,Critical,636
TKT200159,2025-05-31 06:00:00,VPN,Medium,Closed,Application Support,Data refresh has not completed,Medium,989
TKT200160,2025-06-01 00:00:00,Access,Low,New,Network,Network connectivity is intermittent,Low,605
TKT200161,2025-06-01 18:00:00,Access,Low,New,Security,Network connectivity is intermittent,Medium,214
TKT200162,2025-06-02 12:00:00,Access,High,New,Application Support,Application is responding slowly,High,694
TKT200163,2025-06-03 06:00:00,Performance,Medium,New,DBA,Network connectivity is intermittent,Critical,617
TKT200164,2025-06-04 00:00:00,Data,Medium,New,DBA,Database query timing out,High,314
TKT200165,2025-06-04 18:00:00,Performance,Medium,In Progress,Security,Network connectivity is intermittent,Low,81
TKT200166,2025-06-05 12:00:00,Access,Medium,Resolved,Platform,Data refresh has not completed,Critical,649
TKT200167,2025-06-06 06:00:00,Data,Medium,New,Platform,Password reset completed but login still fails,Critical,579
TKT200168,2025-06-07 00:00:00,Access,High,Closed,Network,Data refresh has not completed,Medium,774
TKT200169,2025-06-07 18:00:00,Access,Medium,New,Network,Customer portal showing an error,High,130
TKT200170,2025-06-08 12:00:00,Application,Medium,Resolved,Security,Customer portal showing an error,Critical,541
TKT200171,2025-06-09 06:00:00,Performance,Medium,Closed,Platform,Network connectivity is intermittent,Medium,819
TKT200172,2025-06-10 00:00:00,VPN,Low,In Progress,DBA,Password reset completed but login still fails,Low,891
TKT200173,2025-06-10 18:00:00,Application,Critical,In Progress,SRE,Customer portal showing an error,Low,939
TKT200174,2025-06-11 12:00:00,Network,High,New,SRE,Password reset completed but login still fails,High,215
TKT200175,2025-06-12 06:00:00,Data,Critical,Assigned,Application Support,Application is responding slowly,Critical,177
TKT200176,2025-06-13 00:00:00,VPN,High,Closed,Application Support,Unable to connect to corporate VPN,High,578
TKT200177,2025-06-13 18:00:00,Access,Critical,Assigned,Application Support,Password reset completed but login still fails,High,465
TKT200178,2025-06-14 12:00:00,Authentication,Medium,New,Platform,Data refresh has not completed,Medium,238
TKT200179,2025-06-15 06:00:00,Data,Medium,Resolved,DBA,Application is responding slowly,Medium,106
TKT200180,2025-06-16 00:00:00,Performance,Medium,Resolved,Security,Database query timing out,Low,147
TKT200181,2025-06-16 18:00:00,Authentication,Medium,New,Platform,Database query timing out,Medium,342
TKT200182,2025-06-17 12:00:00,Performance,Critical,New,Security,Customer portal showing an error,High,740
TKT200183,2025-06-18 06:00:00,Network,Medium,New,Security,User cannot access required application,Critical,69
TKT200184,2025-06-19 00:00:00,Data,Critical,New,Network,User cannot access required application,Critical,109
TKT200185,2025-06-19 18:00:00,Access,Low,Resolved,Network,Network connectivity is intermittent,Critical,268
TKT200186,2025-06-20 12:00:00,VPN,Critical,New,Platform,Database query timing out,Low,874
TKT200187,2025-06-21 06:00:00,Authentication,Medium,Resolved,Security,Network connectivity is intermittent,Critical,990
TKT200188,2025-06-22 00:00:00,Network,Low,New,Application Support,Data refresh has not completed,Low,442
TKT200189,2025-06-22 18:00:00,Authentication,Medium,Closed,Application Support,Customer portal showing an error,High,49
TKT200190,2025-06-23 12:00:00,Authentication,Medium,Resolved,Security,Unable to connect to corporate VPN,Critical,16
TKT200191,2025-06-24 06:00:00,Data,Medium,Assigned,Network,Application is responding slowly,Critical,859
TKT200192,2025-06-25 00:00:00,Performance,High,In Progress,Security,User cannot access required application,High,447
TKT200193,2025-06-25 18:00:00,Network,Medium,New,Platform,Database query timing out,Medium,82
TKT200194,2025-06-26 12:00:00,Authentication,Low,New,Application Support,Application is responding slowly,High,834
TKT200195,2025-06-27 06:00:00,Authentication,Low,In Progress,Platform,Application is responding slowly,High,531
TKT200196,2025-06-28 00:00:00,Data,Medium,New,Network,Unable to connect to corporate VPN,High,353
TKT200197,2025-06-28 18:00:00,Database,Medium,Resolved,SRE,Password reset completed but login still fails,Medium,454
TKT200198,2025-06-29 12:00:00,VPN,Medium,Assigned,SRE,Network connectivity is intermittent,Medium,228
TKT200199,2025-06-30 06:00:00,Network,Medium,New,Network,Unable to connect to corporate VPN,High,931
TKT200200,2025-07-01 00:00:00,Network,High,In Progress,DBA,Network connectivity is intermittent,Low,788
TKT200201,2025-07-01 18:00:00,Application,High,In Progress,SRE,Application is responding slowly,Critical,203
TKT200202,2025-07-02 12:00:00,Database,High,Resolved,Application Support,Network connectivity is intermittent,Low,736
TKT200203,2025-07-03 06:00:00,Data,Medium,New,SRE,Application is responding slowly,Critical,183
TKT200204,2025-07-04 00:00:00,Access,High,In Progress,Application Support,Network connectivity is intermittent,Low,456
TKT200205,2025-07-04 18:00:00,Data,Critical,Closed,Platform,User cannot access required application,High,749
TKT200206,2025-07-05 12:00:00,Database,Critical,Assigned,Network,Network connectivity is intermittent,Medium,41
TKT200207,2025-07-06 06:00:00,Access,Low,Closed,SRE,Unable to connect to corporate VPN,High,727
TKT200208,2025-07-07 00:00:00,Database,Critical,Resolved,Security,Network connectivity is intermittent,Medium,229
TKT200209,2025-07-07 18:00:00,Access,Critical,In Progress,Security,Application is responding slowly,Critical,700
TKT200210,2025-07-08 12:00:00,Access,Medium,Closed,SRE,Application is responding slowly,Low,501
TKT200211,2025-07-09 06:00:00,Database,High,Closed,SRE,Unable to connect to corporate VPN,Critical,30
TKT200212,2025-07-10 00:00:00,Data,Low,Assigned,DBA,Data refresh has not completed,High,763
TKT200213,2025-07-10 18:00:00,Performance,Low,Closed,Application Support,Customer portal showing an error,Critical,263
TKT200214,2025-07-11 12:00:00,Data,Medium,New,SRE,Data refresh has not completed,Low,952
TKT200215,2025-07-12 06:00:00,Authentication,Medium,New,Platform,User cannot access required application,Low,840
TKT200216,2025-07-13 00:00:00,Access,Medium,New,DBA,Password reset completed but login still fails,Medium,196
TKT200217,2025-07-13 18:00:00,VPN,Critical,Assigned,SRE,Application is responding slowly,Medium,602
TKT200218,2025-07-14 12:00:00,VPN,High,Closed,Platform,Database query timing out,Critical,365
TKT200219,2025-07-15 06:00:00,Data,High,Resolved,SRE,Password reset completed but login still fails,Critical,604
TKT200220,2025-07-16 00:00:00,Authentication,High,Resolved,Network,Data refresh has not completed,Medium,559
TKT200221,2025-07-16 18:00:00,Performance,Medium,New,Security,Data refresh has not completed,Critical,299
TKT200222,2025-07-17 12:00:00,Network,High,In Progress,Network,User cannot access required application,Low,653
TKT200223,2025-07-18 06:00:00,Database,High,Assigned,Platform,User cannot access required application,High,263
TKT200224,2025-07-19 00:00:00,VPN,Medium,In Progress,Network,Customer portal showing an error,Low,907
TKT200225,2025-07-19 18:00:00,Access,Medium,Assigned,DBA,Customer portal showing an error,High,946
TKT200226,2025-07-20 12:00:00,Access,High,Assigned,SRE,Unable to connect to corporate VPN,Medium,170
TKT200227,2025-07-21 06:00:00,Network,Critical,Closed,SRE,User cannot access required application,Medium,729
TKT200228,2025-07-22 00:00:00,Performance,High,In Progress,Platform,Network connectivity is intermittent,Medium,929
TKT200229,2025-07-22 18:00:00,Database,High,In Progress,Application Support,Network connectivity is intermittent,Medium,131
TKT200230,2025-07-23 12:00:00,Application,Low,New,Security,User cannot access required application,Critical,740
TKT200231,2025-07-24 06:00:00,Database,Low,Resolved,SRE,Data refresh has not completed,Critical,938
TKT200232,2025-07-25 00:00:00,Application,Medium,In Progress,Platform,User cannot access required application,Medium,228
TKT200233,2025-07-25 18:00:00,Authentication,Medium,Assigned,Network,Database query timing out,Medium,584
TKT200234,2025-07-26 12:00:00,Network,Medium,Resolved,Platform,Database query timing out,High,798
TKT200235,2025-07-27 06:00:00,Application,Medium,New,Application Support,Customer portal showing an error,High,336
TKT200236,2025-07-28 00:00:00,Application,High,In Progress,Application Support,Data refresh has not completed,Low,241
TKT200237,2025-07-28 18:00:00,Network,High,Closed,Platform,Password reset completed but login still fails,High,400
TKT200238,2025-07-29 12:00:00,Access,Medium,In Progress,SRE,Application is responding slowly,Critical,338
TKT200239,2025-07-30 06:00:00,Application,Medium,New,Platform,Customer portal showing an error,Critical,726
TKT200240,2025-07-31 00:00:00,Database,High,Assigned,DBA,Network connectivity is intermittent,High,374
TKT200241,2025-07-31 18:00:00,Authentication,High,New,Security,Database query timing out,Medium,379
TKT200242,2025-08-01 12:00:00,Access,Medium,In Progress,Network,Customer portal showing an error,Medium,944
TKT200243,2025-08-02 06:00:00,Data,High,Assigned,Platform,Unable to connect to corporate VPN,High,580
TKT200244,2025-08-03 00:00:00,Performance,Medium,New,Platform,Application is responding slowly,Medium,929
TKT200245,2025-08-03 18:00:00,Access,Medium,Resolved,SRE,Data refresh has not completed,Low,711
TKT200246,2025-08-04 12:00:00,Data,Medium,New,SRE,User cannot access required application,High,885
TKT200247,2025-08-05 06:00:00,Data,High,Assigned,Network,Network connectivity is intermittent,Low,199
TKT200248,2025-08-06 00:00:00,Application,High,Closed,DBA,Password reset completed but login still fails,Critical,938
TKT200249,2025-08-06 18:00:00,VPN,Low,New,SRE,Application is responding slowly,Medium,944
TKT200250,2025-08-07 12:00:00,Access,Medium,Assigned,Platform,Data refresh has not completed,Medium,45
TKT200251,2025-08-08 06:00:00,Application,Critical,Assigned,Application Support,Data refresh has not completed,Low,359
TKT200252,2025-08-09 00:00:00,Database,High,In Progress,Application Support,Data refresh has not completed,Low,416
TKT200253,2025-08-09 18:00:00,Performance,Low,Assigned,DBA,Application is responding slowly,Critical,422
TKT200254,2025-08-10 12:00:00,Performance,Medium,Closed,DBA,Network connectivity is intermittent,High,779
TKT200255,2025-08-11 06:00:00,Database,Low,New,DBA,Database query timing out,Critical,700
TKT200256,2025-08-12 00:00:00,Network,Medium,Closed,Network,Network connectivity is intermittent,Critical,216
TKT200257,2025-08-12 18:00:00,Authentication,Medium,In Progress,Platform,Network connectivity is intermittent,Low,610
TKT200258,2025-08-13 12:00:00,Authentication,Medium,New,Network,Database query timing out,Medium,974
TKT200259,2025-08-14 06:00:00,Database,High,New,Security,Application is responding slowly,Critical,442
TKT200260,2025-08-15 00:00:00,Database,Medium,New,DBA,Data refresh has not completed,Medium,928
TKT200261,2025-08-15 18:00:00,Database,Medium,Assigned,Security,Database query timing out,High,651
TKT200262,2025-08-16 12:00:00,Authentication,High,Assigned,DBA,Database query timing out,High,925
TKT200263,2025-08-17 06:00:00,Network,Low,Resolved,SRE,Customer portal showing an error,High,903
TKT200264,2025-08-18 00:00:00,Application,Medium,Assigned,DBA,Data refresh has not completed,Critical,21
TKT200265,2025-08-18 18:00:00,Database,Critical,Resolved,Application Support,Password reset completed but login still fails,Critical,801
TKT200266,2025-08-19 12:00:00,Application,Medium,Assigned,DBA,Data refresh has not completed,High,193
TKT200267,2025-08-20 06:00:00,Database,Low,Assigned,DBA,Database query timing out,High,825
TKT200268,2025-08-21 00:00:00,Access,Low,Assigned,Platform,Unable to connect to corporate VPN,Medium,808
TKT200269,2025-08-21 18:00:00,Access,Medium,Assigned,Security,Application is responding slowly,Low,262
TKT200270,2025-08-22 12:00:00,Data,Low,Closed,Network,Database query timing out,High,70
TKT200271,2025-08-23 06:00:00,VPN,Low,Assigned,Platform,Customer portal showing an error,Low,422
TKT200272,2025-08-24 00:00:00,Performance,Low,Assigned,Network,User cannot access required application,High,306
TKT200273,2025-08-24 18:00:00,Database,Low,Closed,SRE,Password reset completed but login still fails,Medium,556
TKT200274,2025-08-25 12:00:00,VPN,Medium,Resolved,Application Support,Database query timing out,Critical,86
TKT200275,2025-08-26 06:00:00,Access,Medium,New,Security,Password reset completed but login still fails,Critical,48
TKT200276,2025-08-27 00:00:00,Authentication,Medium,Closed,Platform,Application is responding slowly,High,439
TKT200277,2025-08-27 18:00:00,Authentication,Medium,New,Security,Customer portal showing an error,High,770
TKT200278,2025-08-28 12:00:00,Data,High,New,SRE,Network connectivity is intermittent,Medium,318
TKT200279,2025-08-29 06:00:00,Authentication,Medium,In Progress,Network,Password reset completed but login still fails,Medium,326
TKT200280,2025-08-30 00:00:00,Application,Low,Resolved,DBA,User cannot access required application,Low,168
TKT200281,2025-08-30 18:00:00,Authentication,Medium,New,SRE,Database query timing out,Low,286
TKT200282,2025-08-31 12:00:00,VPN,Low,Resolved,Security,Application is responding slowly,High,302
TKT200283,2025-09-01 06:00:00,VPN,Medium,New,Security,Customer portal showing an error,Critical,262
