incident_id,service,severity,status,assigned_team,incident_date,description,customer_impact,resolution_minutes
INC100109,notification-service,P3,Resolved,Platform,2025-04-01 20:00:00,VPN connections failing after password reset,Low,598
INC100110,customer-portal,P3,Resolved,DBA,2025-04-02 16:00:00,Inventory data synchronization failed,None,234
INC100111,data-platform,P3,Closed,Security,2025-04-03 12:00:00,Database connection pool exhausted,High,613
INC100112,inventory-service,P4,Closed,Application Support,2025-04-04 08:00:00,Database connection pool exhausted,Critical,141
INC100113,order-service,P4,Resolved,SRE,2025-04-05 04:00:00,VPN connections failing after password reset,Medium,218
INC100114,inventory-service,P2,Closed,Platform,2025-04-06 00:00:00,Users unable to authenticate,Medium,230
INC100115,inventory-service,P4,Resolved,Platform,2025-04-06 20:00:00,Users unable to authenticate,Critical,686
INC100116,payment-api,P4,Open,Platform,2025-04-07 16:00:00,Inventory data synchronization failed,Medium,94
INC100117,auth-service,P3,Closed,Network,2025-04-08 12:00:00,Users unable to authenticate,High,290
INC100118,auth-service,P2,Closed,Application Support,2025-04-09 08:00:00,VPN connections failing after password reset,Medium,311
INC100119,payment-api,P1,Open,SRE,2025-04-10 04:00:00,API latency increased significantly,Medium,578
INC100120,order-service,P4,Resolved,Security,2025-04-11 00:00:00,Users unable to authenticate,Medium,354
INC100121,notification-service,P3,Closed,DBA,2025-04-11 20:00:00,VPN connections failing after password reset,High,696
INC100122,notification-service,P4,Closed,DBA,2025-04-12 16:00:00,Inventory data synchronization failed,High,535
INC100123,order-service,P3,Investigating,Security,2025-04-13 12:00:00,Database connection pool exhausted,Medium,509
INC100124,data-platform,P4,Resolved,SRE,2025-04-14 08:00:00,Users unable to authenticate,None,544
INC100125,inventory-service,P3,Closed,Security,2025-04-15 04:00:00,Users unable to authenticate,Critical,124
INC100126,payment-api,P4,Resolved,Platform,2025-04-16 00:00:00,Users unable to authenticate,Critical,328
INC100127,data-platform,P2,Investigating,DBA,2025-04-16 20:00:00,Application deployment caused errors,None,426
INC100128,inventory-service,P3,Investigating,Security,2025-04-17 16:00:00,API latency increased significantly,Low,158
INC100129,notification-service,P4,Resolved,DBA,2025-04-18 12:00:00,API latency increased significantly,Critical,94
INC100130,inventory-service,P4,Closed,Platform,2025-04-19 08:00:00,Service returning intermittent 5xx errors,Low,106
INC100131,inventory-service,P4,Closed,Network,2025-04-20 04:00:00,Database connection pool exhausted,Critical,570
INC100132,payment-api,P1,Closed,Network,2025-04-21 00:00:00,Application deployment caused errors,High,476
INC100133,inventory-service,P3,Closed,SRE,2025-04-21 20:00:00,Database connection pool exhausted,Critical,209
INC100134,data-platform,P1,Closed,Security,2025-04-22 16:00:00,Messages delayed in processing,None,533
INC100135,customer-portal,P2,Resolved,SRE,2025-04-23 12:00:00,Users unable to authenticate,Medium,503
INC100136,inventory-service,P3,Resolved,Network,2025-04-24 08:00:00,Users unable to authenticate,Medium,589
INC100137,payment-api,P4,Closed,DBA,2025-04-25 04:00:00,Messages delayed in processing,Critical,656
INC100138,customer-portal,P4,Resolved,SRE,2025-04-26 00:00:00,Service returning intermittent 5xx errors,Low,636
INC100139,order-service,P4,Closed,Application Support,2025-04-26 20:00:00,Database connection pool exhausted,Low,138
INC100140,vpn-service,P4,Closed,Network,2025-04-27 16:00:00,API latency increased significantly,None,556
INC100141,auth-service,P4,Investigating,SRE,2025-04-28 12:00:00,Service returning intermittent 5xx errors,High,288
INC100142,customer-portal,P1,Closed,DBA,2025-04-29 08:00:00,VPN connections failing after password reset,Critical,296
INC100143,order-service,P2,Resolved,DBA,2025-04-30 04:00:00,Application deployment caused errors,None,469
INC100144,vpn-service,P3,Investigating,DBA,2025-05-01 00:00:00,Service returning intermittent 5xx errors,Low,437
INC100145,data-platform,P4,Closed,Security,2025-05-01 20:00:00,Inventory data synchronization failed,Low,307
INC100146,payment-api,P1,Resolved,Network,2025-05-02 16:00:00,VPN connections failing after password reset,Critical,719
INC100147,auth-service,P3,Closed,Security,2025-05-03 12:00:00,Messages delayed in processing,Medium,134
INC100148,data-platform,P3,Closed,Network,2025-05-04 08:00:00,Service returning intermittent 5xx errors,Low,78
INC100149,payment-api,P1,Closed,DBA,2025-05-05 04:00:00,Inventory data synchronization failed,Low,30
INC100150,data-platform,P3,Resolved,SRE,2025-05-06 00:00:00,Service returning intermittent 5xx errors,Medium,588
INC100151,customer-portal,P4,Resolved,DBA,2025-05-06 20:00:00,Application deployment caused errors,Low,298
INC100152,vpn-service,P3,Resolved,Platform,2025-05-07 16:00:00,Messages delayed in processing,None,320
INC100153,customer-portal,P2,Investigating,Security,2025-05-08 12:00:00,API latency increased significantly,Critical,470
INC100154,order-service,P4,Closed,Security,2025-05-09 08:00:00,Service returning intermittent 5xx errors,Medium,319
INC100155,notification-service,P3,Resolved,Application Support,2025-05-10 04:00:00,VPN connections failing after password reset,Low,417
INC100156,auth-service,P4,Resolved,Application Support,2025-05-11 00:00:00,Service returning intermittent 5xx errors,High,51
INC100157,inventory-service,P2,Closed,SRE,2025-05-11 20:00:00,VPN connections failing after password reset,High,120
INC100158,inventory-service,P3,Resolved,SRE,2025-05-12 16:00:00,Inventory data synchronization failed,None,671
INC100159,data-platform,P3,Open,Application Support,2025-05-13 12:00:00,API latency increased significantly,None,329
INC100160,vpn-service,P2,Investigating,Network,2025-05-14 08:00:00,Users unable to authenticate,None,128
INC100161,notification-service,P4,Closed,SRE,2025-05-15 04:00:00,Users unable to authenticate,High,272
INC100162,order-service,P2,Closed,Platform,2025-05-16 00:00:00,Users unable to authenticate,High,247
INC100163,order-service,P2,Resolved,Application Support,2025-05-16 20:00:00,Service returning intermittent 5xx errors,High,204
INC100164,order-service,P3,Closed,Network,2025-05-17 16:00:00,Users unable to authenticate,High,218
INC100165,data-platform,P4,Closed,SRE,2025-05-18 12:00:00,Messages delayed in processing,Medium,527
INC100166,customer-portal,P4,Closed,Security,2025-05-19 08:00:00,API latency increased significantly,Medium,85
INC100167,auth-service,P4,Resolved,Platform,2025-05-20 04:00:00,Inventory data synchronization failed,High,229
INC100168,customer-portal,P2,Open,Network,2025-05-21 00:00:00,Inventory data synchronization failed,Low,342
INC100169,payment-api,P3,Closed,SRE,2025-05-21 20:00:00,Inventory data synchronization failed,Critical,393
INC100170,payment-api,P2,Resolved,DBA,2025-05-22 16:00:00,VPN connections failing after password reset,Critical,635
INC100171,payment-api,P3,Closed,Network,2025-05-23 12:00:00,API latency increased significantly,Critical,665
INC100172,data-platform,P4,Closed,Application Support,2025-05-24 08:00:00,Application deployment caused errors,Critical,221
INC100173,notification-service,P4,Investigating,Network,2025-05-25 04:00:00,Users unable to authenticate,Low,392
INC100174,notification-service,P3,Closed,Platform,2025-05-26 00:00:00,Database connection pool exhausted,None,25
INC100175,order-service,P3,Closed,SRE,2025-05-26 20:00:00,Database connection pool exhausted,Medium,448
INC100176,notification-service,P4,Closed,Platform,2025-05-27 16:00:00,Messages delayed in processing,High,118
INC100177,auth-service,P3,Resolved,Network,2025-05-28 12:00:00,VPN connections failing after password reset,High,62
INC100178,vpn-service,P2,Closed,SRE,2025-05-29 08:00:00,Inventory data synchronization failed,Low,486
INC100179,inventory-service,P3,Closed,Network,2025-05-30 04:00:00,Application deployment caused errors,Low,136
INC100180,vpn-service,P1,Closed,Application Support,2025-05-31 00:00:00,Database connection pool exhausted,Medium,348
INC100181,auth-service,P2,Closed,Security,2025-05-31 20:00:00,Inventory data synchronization failed,Critical,81
INC100182,order-service,P1,Closed,DBA,2025-06-01 16:00:00,Users unable to authenticate,None,539
INC100183,notification-service,P3,Resolved,Application Support,2025-06-02 12:00:00,Application deployment caused errors,Low,553
INC100184,order-service,P3,Investigating,Security,2025-06-03 08:00:00,Users unable to authenticate,Low,418
INC100185,order-service,P3,Resolved,DBA,2025-06-04 04:00:00,Inventory data synchronization failed,Critical,603
INC100186,auth-service,P3,Closed,Application Support,2025-06-05 00:00:00,Database connection pool exhausted,Medium,320
INC100187,order-service,P4,Closed,SRE,2025-06-05 20:00:00,Application deployment caused errors,None,142
INC100188,auth-service,P4,Closed,Security,2025-06-06 16:00:00,Users unable to authenticate,Low,117
INC100189,customer-portal,P3,Resolved,Platform,2025-06-07 12:00:00,Database connection pool exhausted,None,165
INC100190,notification-service,P2,Closed,Security,2025-06-08 08:00:00,Application deployment caused errors,Medium,152
INC100191,notification-service,P4,Closed,Application Support,2025-06-09 04:00:00,Service returning intermittent 5xx errors,Critical,239
INC100192,inventory-service,P2,Resolved,Network,2025-06-10 00:00:00,API latency increased significantly,Medium,162
INC100193,customer-portal,P3,Closed,SRE,2025-06-10 20:00:00,Service returning intermittent 5xx errors,Critical,429
INC100194,vpn-service,P4,Closed,Network,2025-06-11 16:00:00,API latency increased significantly,High,115
INC100195,payment-api,P3,Closed,Network,2025-06-12 12:00:00,Database connection pool exhausted,Critical,451
INC100196,customer-portal,P4,Investigating,Application Support,2025-06-13 08:00:00,VPN connections failing after password reset,Low,247
INC100197,payment-api,P3,Closed,Application Support,2025-06-14 04:00:00,API latency increased significantly,Critical,497
INC100198,customer-portal,P3,Closed,DBA,2025-06-15 00:00:00,Users unable to authenticate,Low,374
INC100199,vpn-service,P2,Closed,Application Support,2025-06-15 20:00:00,Users unable to authenticate,Medium,652
INC100200,customer-portal,P2,Closed,Network,2025-06-16 16:00:00,Application deployment caused errors,High,322
INC100201,vpn-service,P3,Closed,Network,2025-06-17 12:00:00,Application deployment caused errors,Low,219
INC100202,order-service,P2,Resolved,Application Support,2025-06-18 08:00:00,Users unable to authenticate,Low,428
INC100203,notification-service,P4,Closed,Security,2025-06-19 04:00:00,Users unable to authenticate,None,477
INC100204,order-service,P2,Closed,DBA,2025-06-20 00:00:00,Service returning intermittent 5xx errors,None,321
INC100205,customer-portal,P3,Closed,Network,2025-06-20 20:00:00,Application deployment caused errors,Medium,407
INC100206,data-platform,P4,Investigating,Security,2025-06-21 16:00:00,Messages delayed in processing,Critical,344
INC100207,vpn-service,P4,Resolved,Security,2025-06-22 12:00:00,Inventory data synchronization failed,Low,227
INC100208,customer-portal,P3,Closed,Network,2025-06-23 08:00:00,API latency increased significantly,Medium,232
INC100209,data-platform,P3,Resolved,SRE,2025-06-24 04:00:00,Messages delayed in processing,Critical,654
INC100210,customer-portal,P4,Closed,SRE,2025-06-25 00:00:00,Service returning intermittent 5xx errors,High,489
INC100211,notification-service,P3,Resolved,SRE,2025-06-25 20:00:00,Messages delayed in processing,None,77
INC100212,data-platform,P4,Closed,Network,2025-06-26 16:00:00,VPN connections failing after password reset,Medium,693
INC100213,order-service,P4,Closed,DBA,2025-06-27 12:00:00,API latency increased significantly,None,515
INC100214,notification-service,P4,Resolved,Security,2025-06-28 08:00:00,Messages delayed in processing,Low,45
INC100215,customer-portal,P2,Closed,Platform,2025-06-29 04:00:00,Messages delayed in processing,Low,526
INC100216,payment-api,P3,Resolved,Security,2025-06-30 00:00:00,Database connection pool exhausted,High,428
INC100217,payment-api,P2,Closed,DBA,2025-06-30 20:00:00,Users unable to authenticate,None,659
INC100218,order-service,P3,Closed,SRE,2025-07-01 16:00:00,Service returning intermittent 5xx errors,Low,357
INC100219,vpn-service,P4,Closed,Network,2025-07-02 12:00:00,Application deployment caused errors,Low,378
INC100220,auth-service,P3,Open,Platform,2025-07-03 08:00:00,API latency increased significantly,Low,233
INC100221,order-service,P3,Resolved,Application Support,2025-07-04 04:00:00,API latency increased significantly,High,238
INC100222,notification-service,P1,Closed,Application Support,2025-07-05 00:00:00,Messages delayed in processing,Low,448
INC100223,auth-service,P4,Closed,Security,2025-07-05 20:00:00,API latency increased significantly,Low,597
INC100224,notification-service,P2,Closed,DBA,2025-07-06 16:00:00,Database connection pool exhausted,Medium,642
INC100225,customer-portal,P1,Open,Network,2025-07-07 12:00:00,Messages delayed in processing,High,557
INC100226,data-platform,P2,Resolved,Platform,2025-07-08 08:00:00,VPN connections failing after password reset,None,442
INC100227,inventory-service,P1,Closed,Security,2025-07-09 04:00:00,Messages delayed in processing,Critical,365
INC100228,inventory-service,P3,Open,SRE,2025-07-10 00:00:00,Service returning intermittent 5xx errors,Critical,251
INC100229,auth-service,P3,Resolved,Platform,2025-07-10 20:00:00,Database connection pool exhausted,High,555
INC100230,order-service,P3,Closed,SRE,2025-07-11 16:00:00,Database connection pool exhausted,Medium,235
INC100231,data-platform,P1,Open,Network,2025-07-12 12:00:00,Messages delayed in processing,High,200
INC100232,payment-api,P2,Closed,Platform,2025-07-13 08:00:00,Users unable to authenticate,Medium,626
INC100233,data-platform,P3,Resolved,Platform,2025-07-14 04:00:00,Users unable to authenticate,Low,428
INC100234,order-service,P1,Closed,Network,2025-07-15 00:00:00,Inventory data synchronization failed,Low,261
INC100235,notification-service,P3,Closed,Application Support,2025-07-15 20:00:00,Messages delayed in processing,None,624
INC100236,notification-service,P2,Closed,DBA,2025-07-16 16:00:00,Inventory data synchronization failed,Critical,693
INC100237,order-service,P3,Resolved,Security,2025-07-17 12:00:00,API latency increased significantly,Low,235
INC100238,customer-portal,P3,Closed,Application Support,2025-07-18 08:00:00,Application deployment caused errors,Low,380
INC100239,notification-service,P3,Closed,Application Support,2025-07-19 04:00:00,API latency increased significantly,Critical,353
INC100240,auth-service,P1,Resolved,Network,2025-07-20 00:00:00,Messages delayed in processing,Medium,508
INC100241,inventory-service,P2,Resolved,Application Support,2025-07-20 20:00:00,Users unable to authenticate,High,685
INC100242,payment-api,P4,Open,Application Support,2025-07-21 16:00:00,Application deployment caused errors,Low,399
INC100243,notification-service,P1,Closed,Application Support,2025-07-22 12:00:00,API latency increased significantly,Low,576
INC100244,notification-service,P3,Closed,Network,2025-07-23 08:00:00,Inventory data synchronization failed,High,432
INC100245,payment-api,P3,Closed,Platform,2025-07-24 04:00:00,API latency increased significantly,Medium,639
INC100246,data-platform,P3,Closed,DBA,2025-07-25 00:00:00,Inventory data synchronization failed,None,297
INC100247,order-service,P3,Closed,Application Support,2025-07-25 20:00:00,Database connection pool exhausted,Critical,283
INC100248,data-platform,P4,Closed,Application Support,2025-07-26 16:00:00,Service returning intermittent 5xx errors,Medium,309
INC100249,payment-api,P4,Resolved,DBA,2025-07-27 12:00:00,Users unable to authenticate,High,717
INC100250,auth-service,P2,Closed,SRE,2025-07-28 08:00:00,Messages delayed in processing,Low,444
INC100251,order-service,P3,Resolved,Network,2025-07-29 04:00:00,Users unable to authenticate,Medium,118
INC100252,auth-service,P2,Closed,Security,2025-07-30 00:00:00,API latency increased significantly,High,39
INC100253,customer-portal,P3,Closed,DBA,2025-07-30 20:00:00,VPN connections failing after password reset,Critical,378
INC100254,notification-service,P3,Resolved,Network,2025-07-31 16:00:00,API latency increased significantly,Low,582
INC100255,auth-service,P2,Closed,Network,2025-08-01 12:00:00,Users unable to authenticate,High,350
INC100256,notification-service,P3,Investigating,SRE,2025-08-02 08:00:00,VPN connections failing after password reset,Critical,407
INC100257,payment-api,P4,Closed,Platform,2025-08-03 04:00:00,Messages delayed in processing,High,576
INC100258,auth-service,P1,Closed,Security,2025-08-04 00:00:00,Messages delayed in processing,None,376
INC100259,inventory-service,P3,Closed,Platform,2025-08-04 20:00:00,Application deployment caused errors,None,655
INC100260,data-platform,P4,Resolved,Application Support,2025-08-05 16:00:00,Service returning intermittent 5xx errors,Low,462
INC100261,auth-service,P2,Investigating,SRE,2025-08-06 12:00:00,Database connection pool exhausted,None,529
INC100262,customer-portal,P1,Resolved,DBA,2025-08-07 08:00:00,Users unable to authenticate,High,564
INC100263,vpn-service,P2,Investigating,Network,2025-08-08 04:00:00,Application deployment caused errors,Critical,455
INC100264,vpn-service,P4,Investigating,Security,2025-08-09 00:00:00,VPN connections failing after password reset,Medium,45
INC100265,inventory-service,P1,Open,Application Support,2025-08-09 20:00:00,Service returning intermittent 5xx errors,Medium,313
INC100266,order-service,P2,Closed,DBA,2025-08-10 16:00:00,Messages delayed in processing,High,110
INC100267,customer-portal,P1,Open,DBA,2025-08-11 12:00:00,Service returning intermittent 5xx errors,Medium,372
INC100268,inventory-service,P2,Investigating,Security,2025-08-12 08:00:00,API latency increased significantly,Medium,111
INC100269,inventory-service,P3,Closed,DBA,2025-08-13 04:00:00,Messages delayed in processing,Medium,371
INC100270,customer-portal,P2,Closed,Platform,2025-08-14 00:00:00,VPN connections failing after password reset,Low,254
INC100271,payment-api,P3,Closed,Network,2025-08-14 20:00:00,Inventory data synchronization failed,None,24
INC100272,auth-service,P3,Closed,Platform,2025-08-15 16:00:00,VPN connections failing after password reset,Medium,98
INC100273,vpn-service,P4,Closed,Network,2025-08-16 12:00:00,Inventory data synchronization failed,Critical,367
INC100274,order-service,P1,Closed,DBA,2025-08-17 08:00:00,VPN connections failing after password reset,None,65
