service_id,service_name,business_domain,owner_team,criticality,sla_hours,environment,support_window
SRV0049,customer-portal,Infrastructure,Application Support,Low,8,Production,24x7
SRV0050,auth-service,Infrastructure,SRE,Medium,2,Staging,Business Hours
SRV0051,payment-api,Identity,Application Support,Critical,8,Production,24x7
SRV0052,data-platform,Data,DBA,Critical,24,Development,24x7
SRV0053,payment-api,Identity,SRE,Medium,8,Production,24x7
SRV0054,data-platform,Infrastructure,DBA,High,1,Production,Extended Hours
SRV0055,auth-service,Payments,SRE,Medium,48,Staging,Business Hours
SRV0056,notification-service,Infrastructure,SRE,High,24,Production,24x7
SRV0057,vpn-service,Customer Experience,DBA,Critical,4,Production,Extended Hours
SRV0058,notification-service,Payments,Security,High,4,Development,Business Hours
SRV0059,notification-service,Data,SRE,Medium,1,Staging,Extended Hours
SRV0060,customer-portal,Payments,Platform,Low,48,Production,24x7
SRV0061,inventory-service,Commerce,Network,Low,2,Staging,Extended Hours
SRV0062,notification-service,Commerce,DBA,Medium,4,Production,24x7
SRV0063,order-service,Data,SRE,Medium,4,Production,Business Hours
SRV0064,payment-api,Customer Experience,DBA,Critical,2,Production,Business Hours
SRV0065,vpn-service,Commerce,Network,Medium,8,Production,24x7
SRV0066,auth-service,Commerce,Application Support,Low,48,Production,Business Hours
SRV0067,vpn-service,Payments,Platform,High,48,Production,24x7
SRV0068,vpn-service,Customer Experience,Network,Low,8,Staging,Business Hours
SRV0069,payment-api,Identity,SRE,High,1,Production,Extended Hours
SRV0070,notification-service,Commerce,Application Support,Critical,48,Production,24x7
SRV0071,notification-service,Payments,Application Support,Medium,2,Staging,Business Hours
SRV0072,auth-service,Identity,Network,Low,48,Development,Extended Hours
SRV0073,data-platform,Data,Network,High,4,Production,24x7
SRV0074,payment-api,Customer Experience,Application Support,Medium,8,Development,24x7
SRV0075,auth-service,Identity,Platform,High,4,Staging,24x7
SRV0076,vpn-service,Data,Platform,Medium,4,Production,Business Hours
SRV0077,notification-service,Customer Experience,Platform,Medium,1,Production,24x7
SRV0078,payment-api,Commerce,Security,High,8,Production,Extended Hours
SRV0079,auth-service,Identity,Platform,Medium,4,Staging,24x7
SRV0080,customer-portal,Payments,SRE,Medium,48,Production,Business Hours
SRV0081,payment-api,Customer Experience,SRE,Medium,4,Production,24x7
SRV0082,auth-service,Payments,Application Support,High,48,Staging,24x7
SRV0083,inventory-service,Identity,Application Support,Critical,2,Production,24x7
SRV0084,payment-api,Payments,Application Support,Low,2,Production,Business Hours
SRV0085,customer-portal,Infrastructure,Platform,Medium,1,Development,24x7
SRV0086,customer-portal,Commerce,Network,Medium,24,Development,24x7
SRV0087,vpn-service,Infrastructure,Network,Medium,1,Staging,Business Hours
SRV0088,vpn-service,Data,DBA,Medium,2,Production,Business Hours
SRV0089,data-platform,Payments,SRE,High,48,Production,24x7
SRV0090,customer-portal,Identity,DBA,Medium,8,Production,Business Hours
SRV0091,inventory-service,Payments,SRE,Medium,8,Production,Business Hours
SRV0092,inventory-service,Payments,Platform,Critical,24,Production,Extended Hours
SRV0093,data-platform,Commerce,Platform,Critical,24,Development,Business Hours
SRV0094,notification-service,Identity,Security,Medium,48,Staging,Extended Hours
SRV0095,vpn-service,Payments,Application Support,Low,8,Production,24x7
SRV0096,inventory-service,Commerce,Security,Medium,4,Production,24x7
SRV0097,vpn-service,Commerce,Network,Critical,1,Production,Business Hours
SRV0098,notification-service,Customer Experience,DBA,Low,4,Production,24x7
SRV0099,notification-service,Data,DBA,Critical,24,Staging,Extended Hours
SRV0100,notification-service,Commerce,SRE,High,2,Production,Business Hours
SRV0101,customer-portal,Commerce,Application Support,Low,24,Staging,Business Hours
SRV0102,inventory-service,Payments,Application Support,Medium,1,Production,Business Hours
SRV0103,customer-portal,Commerce,Platform,Low,1,Production,24x7
SRV0104,notification-service,Data,SRE,Medium,4,Development,Business Hours
SRV0105,customer-portal,Payments,SRE,Medium,2,Production,Extended Hours
SRV0106,data-platform,Customer Experience,DBA,High,48,Production,Business Hours
SRV0107,inventory-service,Data,SRE,High,4,Production,Business Hours
SRV0108,notification-service,Infrastructure,SRE,Low,4,Production,Business Hours
SRV0109,auth-service,Identity,DBA,Low,4,Production,Business Hours
SRV0110,data-platform,Customer Experience,SRE,High,2,Production,Extended Hours
SRV0111,data-platform,Commerce,SRE,High,48,Production,Extended Hours
SRV0112,auth-service,Customer Experience,SRE,High,24,Production,Business Hours
SRV0113,customer-portal,Data,Security,High,1,Production,Extended Hours
SRV0114,notification-service,Data,Network,Low,2,Staging,24x7
SRV0115,data-platform,Identity,Platform,Critical,1,Development,24x7
SRV0116,notification-service,Customer Experience,DBA,High,2,Production,24x7
SRV0117,order-service,Identity,Platform,Low,8,Production,Extended Hours
SRV0118,customer-portal,Payments,DBA,Medium,48,Production,Business Hours
SRV0119,vpn-service,Commerce,Network,Medium,4,Production,Business Hours
SRV0120,data-platform,Customer Experience,Security,High,1,Production,24x7
SRV0121,vpn-service,Customer Experience,DBA,Critical,1,Staging,Business Hours
SRV0122,customer-portal,Customer Experience,Security,High,4,Production,24x7
SRV0123,order-service,Data,Platform,Critical,2,Production,Business Hours
SRV0124,auth-service,Customer Experience,SRE,Critical,8,Staging,Business Hours
SRV0125,vpn-service,Commerce,DBA,High,1,Staging,Extended Hours
SRV0126,data-platform,Commerce,SRE,High,2,Production,Extended Hours
SRV0127,auth-service,Identity,Network,Critical,8,Production,24x7
SRV0128,auth-service,Infrastructure,DBA,Low,2,Development,Extended Hours
SRV0129,inventory-service,Identity,Security,Critical,4,Production,Business Hours
SRV0130,order-service,Identity,DBA,High,2,Staging,Business Hours
SRV0131,order-service,Commerce,Application Support,Low,1,Staging,Business Hours
SRV0132,customer-portal,Data,DBA,Critical,4,Production,24x7
SRV0133,notification-service,Identity,Network,Medium,2,Production,24x7
SRV0134,vpn-service,Commerce,Platform,Medium,48,Production,Business Hours
SRV0135,vpn-service,Identity,Security,Medium,48,Production,Extended Hours
SRV0136,order-service,Data,Security,High,4,Production,Business Hours
SRV0137,data-platform,Infrastructure,Platform,Medium,2,Staging,Business Hours
SRV0138,notification-service,Infrastructure,SRE,Medium,4,Staging,Extended Hours
SRV0139,auth-service,Payments,SRE,High,8,Development,Extended Hours
SRV0140,data-platform,Commerce,DBA,Critical,4,Development,Business Hours
SRV0141,customer-portal,Data,DBA,Critical,24,Staging,24x7
SRV0142,notification-service,Identity,SRE,Medium,48,Production,Extended Hours
SRV0143,notification-service,Payments,SRE,High,4,Production,Extended Hours
SRV0144,vpn-service,Identity,DBA,Critical,1,Production,Extended Hours
SRV0145,vpn-service,Infrastructure,Network,Medium,1,Production,Extended Hours
SRV0146,data-platform,Data,Network,Low,48,Production,Business Hours
SRV0147,inventory-service,Payments,Platform,Critical,4,Production,24x7
SRV0148,order-service,Infrastructure,Security,Critical,2,Production,24x7
SRV0149,order-service,Identity,Security,High,8,Production,Extended Hours
SRV0150,vpn-service,Infrastructure,SRE,Medium,48,Staging,Business Hours
SRV0151,auth-service,Data,SRE,Medium,4,Production,Business Hours
SRV0152,inventory-service,Payments,DBA,Low,2,Production,Business Hours
SRV0153,notification-service,Commerce,DBA,Critical,48,Production,Extended Hours
SRV0154,payment-api,Infrastructure,SRE,High,1,Production,Business Hours
SRV0155,notification-service,Commerce,SRE,High,48,Production,24x7
SRV0156,customer-portal,Infrastructure,Security,High,8,Production,Extended Hours
SRV0157,customer-portal,Infrastructure,Network,Medium,1,Production,Business Hours
SRV0158,inventory-service,Payments,SRE,Medium,2,Staging,24x7
SRV0159,payment-api,Customer Experience,DBA,High,24,Production,24x7
SRV0160,auth-service,Commerce,SRE,Medium,24,Development,Business Hours
SRV0161,order-service,Infrastructure,Platform,Critical,2,Staging,Extended Hours
SRV0162,inventory-service,Commerce,Security,Medium,8,Production,24x7
SRV0163,payment-api,Data,Platform,High,48,Production,24x7
SRV0164,customer-portal,Commerce,SRE,Medium,24,Production,24x7
SRV0165,customer-portal,Customer Experience,Application Support,Critical,24,Staging,24x7
SRV0166,inventory-service,Payments,Platform,Low,2,Staging,Business Hours
SRV0167,customer-portal,Customer Experience,DBA,Low,8,Staging,24x7
SRV0168,payment-api,Identity,Security,Medium,24,Development,Extended Hours
SRV0169,inventory-service,Customer Experience,Application Support,Low,1,Production,Business Hours
SRV0170,data-platform,Payments,Security,Critical,2,Staging,Business Hours
SRV0171,inventory-service,Payments,Network,Medium,48,Production,24x7
SRV0172,customer-portal,Payments,Application Support,High,48,Production,24x7
SRV0173,order-service,Data,SRE,Low,2,Production,Business Hours
SRV0174,auth-service,Identity,Platform,High,24,Staging,24x7
SRV0175,auth-service,Data,Platform,High,8,Production,Business Hours
SRV0176,order-service,Infrastructure,DBA,Medium,8,Production,Business Hours
SRV0177,inventory-service,Payments,Application Support,Critical,8,Production,Business Hours
SRV0178,order-service,Data,Security,Medium,48,Development,Business Hours
SRV0179,vpn-service,Infrastructure,Application Support,High,4,Production,Extended Hours
SRV0180,notification-service,Commerce,SRE,Medium,8,Production,Extended Hours
SRV0181,payment-api,Customer Experience,Security,Low,24,Production,24x7
SRV0182,inventory-service,Data,Security,Medium,8,Production,Business Hours
SRV0183,inventory-service,Payments,Network,High,48,Development,Extended Hours
SRV0184,payment-api,Data,SRE,Critical,2,Development,Extended Hours
SRV0185,order-service,Commerce,SRE,Critical,48,Staging,24x7
SRV0186,data-platform,Payments,Application Support,Critical,24,Staging,Extended Hours
SRV0187,customer-portal,Customer Experience,Platform,Medium,48,Production,Extended Hours
SRV0188,order-service,Identity,DBA,High,4,Production,Business Hours
SRV0189,auth-service,Payments,Application Support,High,4,Production,Extended Hours
SRV0190,payment-api,Identity,Network,High,1,Staging,Business Hours
SRV0191,customer-portal,Infrastructure,Platform,Low,48,Production,Extended Hours
SRV0192,data-platform,Data,Network,Critical,24,Staging,Extended Hours
SRV0193,vpn-service,Infrastructure,Platform,High,2,Production,Extended Hours
SRV0194,notification-service,Commerce,Platform,Medium,1,Production,Extended Hours
SRV0195,data-platform,Payments,Security,Critical,24,Production,Extended Hours
SRV0196,notification-service,Commerce,Network,Low,24,Staging,Business Hours
SRV0197,notification-service,Identity,Security,Critical,8,Staging,Business Hours
SRV0198,order-service,Data,Security,Medium,1,Production,Business Hours
SRV0199,payment-api,Identity,DBA,Medium,48,Staging,Extended Hours
SRV0200,order-service,Customer Experience,DBA,Medium,4,Staging,Business Hours
SRV0201,data-platform,Commerce,Platform,Medium,24,Production,24x7
SRV0202,inventory-service,Identity,DBA,Medium,48,Staging,Extended Hours
SRV0203,data-platform,Customer Experience,Security,High,8,Production,Extended Hours
SRV0204,payment-api,Data,Platform,Medium,1,Production,Extended Hours
SRV0205,auth-service,Identity,Platform,Medium,48,Production,24x7
SRV0206,customer-portal,Commerce,Security,Medium,24,Production,Extended Hours
SRV0207,customer-portal,Identity,Application Support,Medium,48,Production,Extended Hours
SRV0208,vpn-service,Infrastructure,Network,High,8,Production,24x7
SRV0209,order-service,Data,Security,High,48,Production,24x7
SRV0210,notification-service,Infrastructure,Platform,High,48,Staging,24x7
SRV0211,notification-service,Customer Experience,DBA,Critical,2,Production,Extended Hours
SRV0212,order-service,Infrastructure,Application Support,High,2,Production,Extended Hours
SRV0213,vpn-service,Commerce,Network,Critical,1,Production,Business Hours
SRV0214,auth-service,Identity,DBA,Medium,24,Production,Business Hours
SRV0215,payment-api,Data,SRE,Medium,2,Staging,Business Hours
SRV0216,notification-service,Commerce,DBA,Medium,4,Development,Extended Hours
SRV0217,notification-service,Identity,DBA,Medium,24,Production,24x7
SRV0218,customer-portal,Infrastructure,Application Support,Critical,4,Staging,24x7
SRV0219,data-platform,Customer Experience,Platform,Critical,1,Production,24x7
SRV0220,auth-service,Commerce,Network,Medium,4,Development,Extended Hours
SRV0221,customer-portal,Infrastructure,DBA,Medium,1,Production,Business Hours
SRV0222,auth-service,Customer Experience,Application Support,Medium,4,Production,Extended Hours
SRV0223,auth-service,Payments,Platform,Medium,24,Production,Extended Hours
SRV0224,notification-service,Commerce,Security,Medium,8,Production,24x7
SRV0225,notification-service,Infrastructure,Application Support,Medium,24,Production,Extended Hours
SRV0226,notification-service,Commerce,DBA,Medium,1,Production,24x7
SRV0227,data-platform,Infrastructure,Network,Medium,24,Production,Extended Hours
SRV0228,payment-api,Commerce,Platform,Critical,4,Staging,Extended Hours
SRV0229,inventory-service,Payments,Platform,Critical,2,Staging,Extended Hours
SRV0230,payment-api,Commerce,SRE,High,8,Production,24x7
SRV0231,vpn-service,Commerce,SRE,Medium,1,Development,Extended Hours
SRV0232,notification-service,Customer Experience,Network,Medium,4,Production,Extended Hours
SRV0233,data-platform,Payments,SRE,High,4,Development,24x7
SRV0234,inventory-service,Payments,SRE,High,1,Production,Business Hours
SRV0235,order-service,Payments,Security,Medium,48,Staging,Extended Hours
SRV0236,notification-service,Data,SRE,High,4,Development,Business Hours
SRV0237,data-platform,Customer Experience,SRE,Medium,1,Staging,Business Hours
SRV0238,auth-service,Data,DBA,High,4,Staging,24x7
SRV0239,data-platform,Infrastructure,Application Support,High,48,Production,Business Hours
SRV0240,notification-service,Customer Experience,Security,High,24,Staging,Extended Hours
SRV0241,payment-api,Data,SRE,High,8,Production,Business Hours
SRV0242,vpn-service,Data,Platform,Critical,48,Production,Extended Hours
SRV0243,auth-service,Identity,Security,High,1,Development,Extended Hours
SRV0244,inventory-service,Customer Experience,Security,High,8,Production,Extended Hours
SRV0245,auth-service,Infrastructure,Network,High,2,Production,Business Hours
SRV0246,auth-service,Customer Experience,Application Support,Medium,24,Development,Extended Hours
SRV0247,notification-service,Customer Experience,Application Support,Critical,48,Production,24x7
SRV0248,notification-service,Commerce,Security,High,1,Production,Business Hours
SRV0249,notification-service,Payments,Security,Critical,1,Production,24x7
SRV0250,customer-portal,Customer Experience,Security,Low,48,Staging,Extended Hours
SRV0251,data-platform,Commerce,SRE,Medium,4,Development,Extended Hours
SRV0252,payment-api,Customer Experience,Security,Low,2,Production,Business Hours
SRV0253,data-platform,Infrastructure,Application Support,Low,1,Production,Business Hours
SRV0254,customer-portal,Identity,Platform,High,4,Production,Business Hours
SRV0255,inventory-service,Commerce,SRE,Medium,1,Staging,Extended Hours
SRV0256,vpn-service,Data,Network,High,2,Staging,24x7
SRV0257,customer-portal,Commerce,Platform,Low,2,Development,Extended Hours
SRV0258,order-service,Identity,Application Support,High,1,Production,24x7
SRV0259,data-platform,Identity,Network,High,48,Production,24x7
SRV0260,data-platform,Data,DBA,Low,24,Production,Extended Hours
SRV0261,auth-service,Payments,Application Support,Medium,48,Production,Extended Hours
SRV0262,inventory-service,Payments,Security,Low,2,Production,Business Hours
SRV0263,customer-portal,Payments,Security,Critical,2,Production,Business Hours
SRV0264,inventory-service,Infrastructure,Application Support,High,2,Production,Extended Hours
SRV0265,order-service,Payments,Security,High,8,Development,Extended Hours
SRV0266,payment-api,Commerce,Platform,High,2,Production,Extended Hours
SRV0267,vpn-service,Payments,Security,Medium,2,Production,Extended Hours
SRV0268,notification-service,Data,Platform,High,48,Staging,Business Hours
SRV0269,order-service,Payments,Platform,Medium,4,Production,24x7
SRV0270,payment-api,Payments,DBA,High,24,Production,24x7
SRV0271,payment-api,Commerce,Platform,Medium,2,Production,Business Hours
SRV0272,order-service,Infrastructure,SRE,Low,48,Production,Business Hours
SRV0273,notification-service,Payments,Application Support,Medium,24,Production,Extended Hours
SRV0274,customer-portal,Commerce,DBA,High,48,Production,24x7
SRV0275,notification-service,Infrastructure,Security,High,8,Production,Extended Hours
SRV0276,order-service,Data,Security,Critical,48,Production,Extended Hours
SRV0277,payment-api,Infrastructure,DBA,Medium,4,Production,Extended Hours
SRV0278,inventory-service,Identity,DBA,Medium,4,Production,Business Hours
SRV0279,auth-service,Customer Experience,Security,Critical,1,Production,24x7
SRV0280,payment-api,Payments,Platform,Low,2,Development,Business Hours
SRV0281,auth-service,Data,Security,Medium,24,Production,Business Hours
SRV0282,customer-portal,Commerce,Security,Medium,2,Production,Business Hours
SRV0283,inventory-service,Payments,Platform,High,1,Production,Business Hours
SRV0284,vpn-service,Customer Experience,SRE,Low,2,Staging,Business Hours
SRV0285,auth-service,Infrastructure,Application Support,High,4,Production,Business Hours
SRV0286,payment-api,Identity,Application Support,High,24,Production,24x7
SRV0287,auth-service,Payments,Application Support,Low,1,Production,Business Hours
SRV0288,customer-portal,Infrastructure,SRE,Low,1,Production,24x7
SRV0289,auth-service,Data,Application Support,Medium,24,Staging,Business Hours
SRV0290,customer-portal,Payments,Application Support,Critical,1,Production,Business Hours
SRV0291,vpn-service,Customer Experience,Security,High,4,Staging,Extended Hours
SRV0292,order-service,Infrastructure,Network,Medium,24,Production,Extended Hours
SRV0293,notification-service,Commerce,DBA,Medium,8,Staging,Business Hours
SRV0294,notification-service,Identity,Network,High,1,Production,24x7
SRV0295,auth-service,Identity,SRE,Critical,24,Staging,Extended Hours
SRV0296,auth-service,Commerce,DBA,Medium,1,Staging,24x7
SRV0297,order-service,Payments,Platform,Medium,2,Production,24x7
SRV0298,order-service,Commerce,Platform,High,1,Production,24x7
SRV0299,payment-api,Identity,SRE,Medium,8,Production,Extended Hours
SRV0300,notification-service,Payments,Network,Low,24,Production,Business Hours
SRV0301,customer-portal,Payments,SRE,High,8,Staging,24x7
SRV0302,customer-portal,Commerce,Application Support,Medium,1,Production,24x7
SRV0303,inventory-service,Commerce,Application Support,Medium,4,Staging,Business Hours
SRV0304,vpn-service,Commerce,Security,Medium,1,Staging,Extended Hours
SRV0305,data-platform,Infrastructure,Platform,Low,4,Staging,Business Hours
SRV0306,vpn-service,Data,SRE,Medium,2,Staging,24x7
SRV0307,order-service,Identity,DBA,Medium,24,Production,Business Hours
SRV0308,payment-api,Customer Experience,Security,Critical,24,Production,Business Hours
SRV0309,auth-service,Infrastructure,SRE,Medium,24,Production,24x7
SRV0310,customer-portal,Commerce,Application Support,Critical,2,Staging,24x7
SRV0311,customer-portal,Payments,Network,Critical,1,Development,24x7
SRV0312,auth-service,Customer Experience,Security,Medium,1,Production,Business Hours
SRV0313,auth-service,Infrastructure,SRE,Medium,48,Development,24x7
SRV0314,auth-service,Commerce,Network,Low,48,Development,24x7
SRV0315,notification-service,Payments,Network,Medium,2,Production,24x7
SRV0316,order-service,Payments,SRE,Medium,48,Staging,Extended Hours
SRV0317,payment-api,Identity,Security,High,8,Production,Business Hours
SRV0318,inventory-service,Identity,Application Support,Medium,2,Production,Extended Hours
SRV0319,data-platform,Identity,DBA,Low,2,Production,Business Hours
SRV0320,order-service,Commerce,Network,High,2,Production,24x7
SRV0321,customer-portal,Payments,DBA,Medium,24,Staging,24x7
SRV0322,customer-portal,Identity,Network,Medium,2,Production,Extended Hours
SRV0323,order-service,Customer Experience,Network,High,2,Staging,Business Hours
SRV0324,customer-portal,Customer Experience,Security,Medium,24,Staging,24x7
SRV0325,vpn-service,Payments,DBA,High,2,Staging,Business Hours
SRV0326,vpn-service,Infrastructure,Platform,Critical,2,Production,Business Hours
SRV0327,customer-portal,Customer Experience,Network,High,24,Production,24x7
SRV0328,vpn-service,Data,Application Support,High,48,Production,Extended Hours
SRV0329,data-platform,Commerce,DBA,High,8,Production,24x7
SRV0330,payment-api,Commerce,SRE,Low,24,Production,24x7
SRV0331,order-service,Identity,Application Support,High,48,Production,Extended Hours
SRV0332,notification-service,Commerce,Security,Medium,8,Production,Business Hours
SRV0333,order-service,Customer Experience,Platform,Medium,24,Production,24x7
SRV0334,order-service,Data,Application Support,Critical,1,Production,24x7
SRV0335,order-service,Commerce,Application Support,High,1,Production,Business Hours
SRV0336,notification-service,Payments,Application Support,Low,48,Development,Extended Hours
SRV0337,customer-portal,Customer Experience,Network,Medium,1,Production,24x7
SRV0338,inventory-service,Payments,Application Support,Low,24,Development,Business Hours
SRV0339,auth-service,Infrastructure,Security,High,4,Production,Business Hours
SRV0340,vpn-service,Identity,Application Support,Medium,24,Production,Extended Hours
SRV0341,payment-api,Identity,DBA,Medium,8,Development,Extended Hours
SRV0342,payment-api,Identity,Platform,Low,1,Development,24x7
SRV0343,payment-api,Commerce,Platform,Critical,4,Production,Business Hours
SRV0344,customer-portal,Infrastructure,Application Support,Low,24,Production,Extended Hours
SRV0345,inventory-service,Commerce,DBA,High,48,Production,Business Hours
SRV0346,vpn-service,Payments,Application Support,Medium,24,Production,24x7
SRV0347,order-service,Identity,DBA,Medium,48,Staging,24x7
SRV0348,auth-service,Payments,DBA,Medium,48,Production,Business Hours
SRV0349,customer-portal,Commerce,SRE,High,48,Production,Extended Hours
SRV0350,auth-service,Customer Experience,Network,Medium,8,Production,24x7
SRV0351,order-service,Customer Experience,DBA,High,4,Production,24x7
SRV0352,notification-service,Customer Experience,SRE,Medium,8,Production,24x7
SRV0353,payment-api,Payments,SRE,Medium,24,Production,Business Hours
SRV0354,data-platform,Commerce,DBA,Medium,4,Development,24x7
SRV0355,auth-service,Payments,Platform,Medium,24,Production,24x7
SRV0356,notification-service,Commerce,Security,Medium,24,Production,Business Hours
SRV0357,data-platform,Data,Network,Medium,2,Production,Extended Hours
SRV0358,data-platform,Infrastructure,Network,Medium,48,Production,24x7
SRV0359,notification-service,Commerce,SRE,Medium,48,Production,Business Hours
SRV0360,notification-service,Payments,Network,Medium,8,Production,Business Hours
SRV0361,auth-service,Commerce,DBA,Medium,2,Development,Extended Hours
SRV0362,auth-service,Commerce,DBA,Medium,2,Development,Extended Hours
SRV0363,order-service,Data,Platform,High,48,Staging,Extended Hours
SRV0364,inventory-service,Payments,SRE,Medium,1,Staging,24x7
SRV0365,inventory-service,Data,Application Support,Critical,4,Production,Extended Hours
SRV0366,data-platform,Commerce,Application Support,High,8,Production,24x7
SRV0367,customer-portal,Infrastructure,Application Support,Medium,2,Production,Extended Hours
SRV0368,data-platform,Customer Experience,Platform,High,48,Staging,24x7
SRV0369,order-service,Identity,DBA,Medium,8,Production,24x7
SRV0370,auth-service,Infrastructure,SRE,Low,1,Production,24x7
SRV0371,notification-service,Payments,Application Support,High,2,Production,24x7
SRV0372,auth-service,Customer Experience,SRE,Critical,4,Production,Business Hours
SRV0373,order-service,Commerce,Network,Critical,2,Staging,Business Hours
SRV0374,data-platform,Infrastructure,Application Support,High,48,Production,Extended Hours
SRV0375,data-platform,Infrastructure,Security,Medium,4,Production,24x7
SRV0376,customer-portal,Data,Application Support,Medium,8,Production,24x7
SRV0377,auth-service,Commerce,Network,Medium,8,Staging,24x7
SRV0378,payment-api,Infrastructure,SRE,High,2,Production,24x7
SRV0379,payment-api,Commerce,SRE,Medium,8,Production,Extended Hours
SRV0380,data-platform,Data,SRE,Critical,4,Production,Business Hours
SRV0381,data-platform,Data,SRE,Medium,1,Production,24x7
SRV0382,inventory-service,Commerce,Network,Medium,4,Staging,24x7
SRV0383,inventory-service,Payments,SRE,Critical,8,Production,Extended Hours
SRV0384,customer-portal,Identity,Platform,Medium,1,Development,Business Hours
SRV0385,auth-service,Customer Experience,Network,Medium,24,Production,24x7
SRV0386,payment-api,Data,Security,High,8,Production,Extended Hours
SRV0387,notification-service,Data,Security,Medium,2,Development,24x7
SRV0388,payment-api,Identity,SRE,Medium,8,Production,24x7
SRV0389,payment-api,Infrastructure,Application Support,Critical,2,Staging,Extended Hours
SRV0390,data-platform,Commerce,DBA,High,8,Production,Business Hours
SRV0391,inventory-service,Identity,Network,Medium,1,Production,24x7
SRV0392,order-service,Payments,Network,Low,8,Production,Extended Hours
SRV0393,auth-service,Commerce,Application Support,Medium,1,Production,24x7
SRV0394,auth-service,Data,Network,Medium,1,Staging,Extended Hours
SRV0395,order-service,Identity,Platform,Medium,2,Production,Business Hours
SRV0396,customer-portal,Identity,Network,High,2,Production,Extended Hours
SRV0397,inventory-service,Identity,SRE,Critical,4,Production,Extended Hours
SRV0398,auth-service,Identity,SRE,High,1,Production,Extended Hours
SRV0399,auth-service,Infrastructure,Platform,Low,2,Production,Extended Hours
SRV0400,payment-api,Commerce,Platform,Medium,1,Development,Business Hours
SRV0401,order-service,Commerce,Network,Low,48,Production,24x7
SRV0402,customer-portal,Payments,SRE,High,24,Production,Business Hours
SRV0403,auth-service,Data,DBA,Medium,2,Production,Business Hours
SRV0404,inventory-service,Customer Experience,SRE,Medium,1,Production,Extended Hours
SRV0405,order-service,Infrastructure,Platform,High,48,Production,24x7
SRV0406,auth-service,Commerce,Application Support,High,24,Staging,Extended Hours
SRV0407,notification-service,Identity,SRE,Medium,48,Production,Business Hours
